sampleName	cellLabel	cellType
B.fo.Sp#1.1	Bfollicle	B
B.fo.Sp#1.10	Bfollicle	B
B.fo.Sp#1.11	Bfollicle	B
B.fo.Sp#1.12	Bfollicle	B
B.fo.Sp#1.13	Bfollicle	B
B.fo.Sp#1.14	Bfollicle	B
B.fo.Sp#1.15	Bfollicle	B
B.fo.Sp#1.16	Bfollicle	B
B.fo.Sp#1.2	Bfollicle	B
B.fo.Sp#1.3	Bfollicle	B
B.fo.Sp#1.4	Bfollicle	B
B.fo.Sp#1.5	Bfollicle	B
B.fo.Sp#1.6	Bfollicle	B
B.fo.Sp#1.8	Bfollicle	B
B.fo.Sp#1.9	Bfollicle	B
MF.PC#1.1	Macrophage	MF
MF.PC#1.10	Macrophage	MF
MF.PC#1.11	Macrophage	MF
MF.PC#1.12	Macrophage	MF
MF.PC#1.13	Macrophage	MF
MF.PC#1.14	Macrophage	MF
MF.PC#1.15	Macrophage	MF
MF.PC#1.16	Macrophage	MF
MF.PC#1.2	Macrophage	MF
MF.PC#1.3	Macrophage	MF
MF.PC#1.4	Macrophage	MF
MF.PC#1.5	Macrophage	MF
MF.PC#1.6	Macrophage	MF
MF.PC#1.7	Macrophage	MF
MF.PC#1.8	Macrophage	MF
MF.PC#1.9	Macrophage	MF
MF.PC#2.1	Macrophage	MF
MF.PC#2.2	Macrophage	MF
MF.PC#2.3	Macrophage	MF
MF.PC#2.4	Macrophage	MF
MF.PC#2.5	Macrophage	MF
MF.PC#2.6	Macrophage	MF
MF.PC#2.7	Macrophage	MF
MF.PC#2.8	Macrophage	MF
NK.Sp#1.1	NatKiller	NK
NK.Sp#1.10	NatKiller	NK
NK.Sp#1.11	NatKiller	NK
NK.Sp#1.12	NatKiller	NK
NK.Sp#1.13	NatKiller	NK
NK.Sp#1.14	NatKiller	NK
NK.Sp#1.15	NatKiller	NK
NK.Sp#1.16	NatKiller	NK
NK.Sp#1.17	NatKiller	NK
NK.Sp#1.18	NatKiller	NK
NK.Sp#1.2	NatKiller	NK
NK.Sp#1.3	NatKiller	NK
NK.Sp#1.4	NatKiller	NK
NK.Sp#1.5	NatKiller	NK
NK.Sp#1.6	NatKiller	NK
NK.Sp#1.7	NatKiller	NK
NK.Sp#1.8	NatKiller	NK
NK.Sp#1.9	NatKiller	NK
T.4.Nve.#2.1	CD4+	T
T.4.Nve.#2.2	CD4+	T
T.4.Nve.Sp#1.1	CD4+	T
T.4.Nve.Sp#1.10	CD4+	T
T.4.Nve.Sp#1.11	CD4+	T
T.4.Nve.Sp#1.12	CD4+	T
T.4.Nve.Sp#1.13	CD4+	T
T.4.Nve.Sp#1.14	CD4+	T
T.4.Nve.Sp#1.15	CD4+	T
T.4.Nve.Sp#1.16	CD4+	T
T.4.Nve.Sp#1.2	CD4+	T
T.4.Nve.Sp#1.3	CD4+	T
T.4.Nve.Sp#1.4	CD4+	T
T.4.Nve.Sp#1.5	CD4+	T
T.4.Nve.Sp#1.6	CD4+	T
T.4.Nve.Sp#1.7	CD4+	T
T.4.Nve.Sp#1.8	CD4+	T
T.4.Nve.Sp#1.9	CD4+	T
Tgd.Sp#1.1	GammeDelta	T
Tgd.Sp#1.2	GammeDelta	T
Tgd.Sp#1.3	GammeDelta	T
Tgd.Sp#1.4	GammeDelta	T
Tgd.Sp#1.5	GammeDelta	T
Tgd.Sp#1.6	GammeDelta	T
Tgd.Sp#1.7	GammeDelta	T
Tgd.Sp#1.8	GammeDelta	T
