gene_symbol	B.fo.Sp#1.1	B.fo.Sp#1.10	B.fo.Sp#1.11	B.fo.Sp#1.12	B.fo.Sp#1.13	B.fo.Sp#1.14	B.fo.Sp#1.15	B.fo.Sp#1.16	B.fo.Sp#1.2	B.fo.Sp#1.3	B.fo.Sp#1.4	B.fo.Sp#1.5	B.fo.Sp#1.6	B.fo.Sp#1.8	B.fo.Sp#1.9	MF.PC#1.1	MF.PC#1.10	MF.PC#1.11	MF.PC#1.12	MF.PC#1.13	MF.PC#1.14	MF.PC#1.15	MF.PC#1.16	MF.PC#1.2	MF.PC#1.3	MF.PC#1.4	MF.PC#1.5	MF.PC#1.6	MF.PC#1.7	MF.PC#1.8	MF.PC#1.9	MF.PC#2.1	MF.PC#2.2	MF.PC#2.3	MF.PC#2.4	MF.PC#2.5	MF.PC#2.6	MF.PC#2.7	MF.PC#2.8	NK.Sp#1.1	NK.Sp#1.10	NK.Sp#1.11	NK.Sp#1.12	NK.Sp#1.13	NK.Sp#1.14	NK.Sp#1.15	NK.Sp#1.16	NK.Sp#1.17	NK.Sp#1.18	NK.Sp#1.2	NK.Sp#1.3	NK.Sp#1.4	NK.Sp#1.5	NK.Sp#1.6	NK.Sp#1.7	NK.Sp#1.8	NK.Sp#1.9	T.4.Nve.#2.1	T.4.Nve.#2.2	T.4.Nve.Sp#1.1	T.4.Nve.Sp#1.10	T.4.Nve.Sp#1.11	T.4.Nve.Sp#1.12	T.4.Nve.Sp#1.13	T.4.Nve.Sp#1.14	T.4.Nve.Sp#1.15	T.4.Nve.Sp#1.16	T.4.Nve.Sp#1.2	T.4.Nve.Sp#1.3	T.4.Nve.Sp#1.4	T.4.Nve.Sp#1.5	T.4.Nve.Sp#1.6	T.4.Nve.Sp#1.7	T.4.Nve.Sp#1.8	T.4.Nve.Sp#1.9	Tgd.Sp#1.1	Tgd.Sp#1.2	Tgd.Sp#1.3	Tgd.Sp#1.4	Tgd.Sp#1.5	Tgd.Sp#1.6	Tgd.Sp#1.7	Tgd.Sp#1.8
0610030E20Rik	214.9162578	273.4621911	229.0657774	221.5294254	235.7879964	225.4507232	255.3550564	257.6680771	251.6340727	224.0026951	260.6000882	220.4367655	226.8465078	213.7707095	242.4781289	138.9213916	122.6318116	145.1894217	109.2956218	105.82142	115.7508455	117.5989827	129.5146474	137.5748072	141.1543669	137.5930201	139.7315978	117.1037049	145.5937542	113.6213582	138.3576278	114.6434091	109.35768	86.89567051	122.2858051	155.5754248	120.6253585	124.0859374	121.7366634	241.0121882	212.3419814	204.0409387	175.0175314	214.8264155	236.7368473	189.927925	211.8448946	136.7945566	150.8039183	214.1826886	207.5975909	199.5704731	204.9362879	192.6831738	205.0953095	264.0956594	191.4485743	233.5984829	225.0671214	220.6241666	259.043467	257.9468052	228.1528888	215.9417148	224.1803979	254.1333062	291.1180768	240.5940697	213.398655	196.6630649	245.6999627	248.5175023	240.0510816	249.2211137	202.5157532	163.023837	185.6425097	150.3523053	218.6352315	170.7086883	167.7111396	160.9723014	196.7329519
1110059E24Rik	364.85756	292.4988507	291.0258441	279.9697232	287.4922122	268.0006233	237.0358557	304.7907319	375.9643607	352.6580961	293.0500993	313.7718603	315.8163441	293.8726236	334.5169239	155.9487239	116.8854268	155.1335198	162.1227544	105.82142	109.3757985	155.4425121	151.2232027	130.8303723	174.0300826	142.1159678	168.5589428	137.2539346	148.5050378	121.1294488	153.8002014	106.9886717	101.9359211	150.2948559	149.8507607	134.1066158	124.5864631	154.4358945	141.9944928	104.550409	109.2996223	71.73684316	67.81685804	76.59519739	75.00153457	57.41597759	78.360357	64.99513589	108.9755515	45.17298953	86.85873908	87.874582	70.47987097	52.72403103	59.64807743	56.23555281	80.35357264	62.33590131	67.88570787	96.32623402	53.80889556	69.09544308	63.24862817	69.45277542	62.04079259	42.51060648	67.83348366	51.85261888	51.5265523	62.90469849	47.90082618	58.6920494	72.15939173	76.09210161	67.01378121	79.65234806	48.71660364	60.6127227	89.93399824	47.44658838	69.53140142	57.74231202	94.7887061
1600012H06Rik	120.9530417	129.4974526	122.2835348	89.21177017	120.5130234	119.0759728	136.2802516	105.2714063	141.1182611	99.63580744	105.3036069	114.1936256	112.7826149	94.86943065	134.6047025	218.9498534	189.6729675	218.7757473	172.6881809	217.7735489	233.6892145	210.6736092	207.6654465	232.8399505	249.2981685	207.2464145	219.0067965	230.3288055	244.577398	161.1725983	222.8853988	185.3025236	216.2310082	258.6870115	204.9806721	240.0194069	182.4185901	221.8802438	199.5267284	164.7541351	199.7245497	142.9103335	141.9762279	155.0702118	147.4772643	142.039944	161.788193	116.503416	239.3244155	185.3742172	89.54182467	98.90627496	147.6797276	169.8637483	162.0867193	181.2423302	137.4881449	68.70846248	117.3811317	125.2979326	83.81394986	119.9400406	94.91898285	79.03616397	88.74613934	94.60234795	96.69339706	107.5949126	100.1817508	92.75160669	118.2520654	101.495828	74.38312273	111.5522607	86.70210192	74.93320718	110.2641069	115.0974693	82.70359188	104.0161511	131.7443048	85.77164688	147.7997139
1600014C10Rik	91.96438999	78.33642979	107.7822426	75.98000465	85.76100952	82.90855774	91.18683441	86.22182247	113.4893082	65.3277005	93.71431723	113.2006991	105.9387814	77.34713693	118.7700711	88.69076132	75.70300238	75.58073538	51.18577596	75.87244287	90.2506576	81.80104939	104.3327233	87.83459966	73.67263468	63.41667806	67.6632353	92.15580134	83.48636983	108.6159645	70.89796445	131.1305358	95.99851398	54.17351031	72.6688848	69.70018882	82.59875449	76.8748929	89.32413632	143.8835101	150.3062754	167.7992228	183.8285456	135.6314468	149.0030691	157.127938	166.3388022	209.3744059	129.4033586	148.4033455	97.59108146	141.6540851	112.9397921	159.2146831	142.5373602	118.7389415	121.6174304	209.7013785	192.2931245	214.0821702	206.2345714	172.6005166	171.3646666	235.1084919	180.3073282	147.5080229	145.299567	159.4254665	184.3926713	176.7651261	193.7012206	153.6047758	220.0375027	202.2885502	215.2552548	264.2231915	227.8267535	186.8891353	243.2186131	210.6051168	219.2312003	197.8889863	75.4192994
1600020E01Rik	161.9369977	136.6361999	202.6997916	225.9400139	169.6744089	161.625873	179.2599149	170.4410353	186.5086837	191.8388448	228.1500772	160.8611731	176.6583949	197.5000082	150.4393339	36.75739782	45.05561679	43.75962162	35.33763618	22.39212653	87.06313412	53.16270277	39.20705734	57.48464249	51.17872395	40.80193963	36.13332671	39.38139004	27.20155277	31.03236219	43.26388548	23.96421221	32.1713874	37.81243022	37.75327426	49.66263375	43.77992954	39.78050082	23.68876896	63.61187519	114.5568855	69.11696008	83.97038416	75.15528887	68.13541281	84.31196691	69.25913853	117.2838445	43.80111952	65.33891953	57.34479752	105.8010831	79.48652091	102.926767	77.63348784	115.8318072	64.48285811	147.568907	177.5782688	134.6436418	141.4236541	137.1908862	102.5635512	142.0127174	164.0933677	138.5547548	127.8317247	133.9991571	158.1937183	110.4386634	117.2324823	123.8282342	161.1086314	106.3375314	116.8136512	110.5889383	105.423292	92.66257362	114.5173799	104.0161511	95.29143174	126.7901857	93.76926364
1700017B05Rik	137.9463893	84.28538592	110.4188412	85.90382879	102.7132114	135.0321854	104.5739426	79.20355473	97.70133514	131.7996577	98.35003309	91.35631521	89.96983639	86.10828379	82.15248594	168.7192231	173.391544	177.0105355	188.5363207	156.4494528	192.2514092	171.8072816	187.6935756	183.099743	243.2421156	161.1123481	167.6580882	191.9474154	235.8435471	183.69687	158.6768035	164.1047893	190.997028	199.3780962	193.9546899	161.3004406	175.2886018	199.9608303	201.1473548	38.72766839	24.13195816	57.7641334	49.46057836	43.47730139	49.82575477	59.38397681	29.82052516	177.3768379	381.3463121	65.33891953	70.7602255	39.61092533	49.89324254	26.101368	46.35451321	69.31765742	39.08971487	138.8066354	148.8174144	209.4093156	172.6289106	164.4290634	183.3775597	194.0368267	152.6482191	123.0900191	113.401768	153.5578566	174.1002255	192.2413007	193.7012206	153.6047758	154.4374384	214.8039004	207.1482992	203.923058	217.4535788	188.8121264	111.6252173	117.71194	168.1971779	166.4414399	79.49706923
1700025G04Rik	1	1	1	1	1.847610095	1	2.409169288	4.007829028	1	1	1	1	1	1	1.989664463	12.06776599	9.619577198	7.960868635	16.84813978	8.843779729	7.375046972	12.25077903	9.683422123	8.58748929	7.05605289	5.522947686	10.90939984	6.757208506	10.7042788	13.51348424	15.62980651	28.08599388	6.937407124	1	6.512991139	3.862507868	7.337767339	9.430543656	8.292818595	151.1079572	204.9818129	183.5185212	234.4918775	232.1053177	251.9948956	138.7599453	190.6087181	83.72541956	14.61853803	173.8508286	199.5483341	205.7758004	192.0696452	207.8961241	171.4704117	157.9852554	129.5527877	23.30396411	21.73456944	30.9062695	45.40748036	32.77787344	32.67035468	44.80977627	36.28920821	34.37127188	33.65727042	28.3821794	34.6843682	62.90469849	26.48957944	45.66481244	25.46104091	31.24542982	40.37664142	48.71575782	64.62213819	63.81770779	57.39716962	70.66988257	71.96159296	61.16052359	64.20543237
1700037H04Rik	41.98395593	46.21206664	39.23067945	49.51647359	47.61855523	42.48615262	42.57049399	38.09655802	60.20489906	46.02939035	28.81429517	53.62510666	51.18811283	62.32802803	40.58657851	264.072284	227.0244687	225.7366159	262.4943063	246.2963843	252.8143554	246.4715424	269.3177436	214.2927545	263.1405751	280.518167	232.5196145	219.7739232	290.1875084	271.2912597	270.8386535	234.1750778	185.0596208	203.4683662	219.6819818	302.99458	222.0296359	230.3107874	246.5248927	62.80915884	61.98425334	85.70955292	79.56487703	78.75506017	80.3418515	83.65596717	85.94470572	64.99513589	191.6595324	56.21623691	35.88011275	55.46898395	68.54987456	73.26151393	64.33992363	69.31765742	74.00528683	53.57362969	33.77399686	67.35453545	33.40545864	34.59375192	52.32781621	54.39316482	35.33544583	47.39420725	32.13832761	62.60990364	49.65519851	47.42852386	71.35123927	54.9699817	35.46783037	45.8466718	27.63713979	42.94791897	63.93059321	59.33072866	76.19622615	56.3786246	61.75478849	63.89509285	31.58327373
1810026B05Rik	114.9553897	165.1911894	142.0580242	143.2414794	129.8367345	126.5222054	159.5315449	178.4619127	127.3037847	136.0881711	165.5679131	140.0097157	133.3141157	154.9458663	157.3669851	96.35306085	64.21023278	106.4074393	98.7301953	69.45480491	52.00037577	61.34508752	69.59903477	80.24711037	96.16654541	86.03141649	101.8957075	87.35812759	93.19064864	91.09708656	56.26815794	45.75077251	75.21758905	78.71513046	68.99355738	71.13144275	56.45546422	71.81656671	60.15286194	163.1487024	93.52783265	80.90643394	81.76763059	136.351401	122.3014845	90.21596457	90.49531496	169.5725531	55.47415212	100.8693676	105.6403383	128.5539498	103.9331422	117.3790698	107.3485137	110.0175384	104.1596444	259.8852977	209.0145515	239.3155851	231.438817	229.8006887	251.0865939	209.0964373	214.642774	256.5751066	215.9304077	262.1086392	251.7614077	241.9861477	214.0928842	200.1306221	250.0578711	212.7180087	229.1528929	161.45079	115.1049218	168.9412188	147.0542085	137.9578888	148.7556456	143.8812435	174.3052178
2010016I18Rik	48.9812167	58.10997892	37.91238016	37.3873552	64.57075714	66.95234519	61.59427937	51.1304838	50.33741589	56.75067377	31.1321531	51.63925358	67.15705783	44.80573431	86.1111438	25.68963183	52.71746319	33.81552357	45.9030627	33.0881898	42.43780532	31.68394281	36.6020307	46.52493574	28.68481321	27.23309658	21.71965421	32.66464678	38.84668734	31.03236219	46.5149536	53.40550991	30.68703562	27.58675516	28.56495569	36.78134834	27.93551119	36.40828336	42.32597204	158.3324043	148.2033701	124.1345048	178.6887873	139.2312181	146.7143619	122.3599518	136.0014073	470.8179488	35.04634507	155.6054634	178.0836493	158.2016246	100.7164815	112.8151847	148.0111808	149.2638523	167.6425025	556.2093924	588.9253722	769.2172977	687.5156423	716.456122	744.7072945	703.3254758	722.0443624	669.239371	689.8405645	710.9807943	744.8631311	691.9006527	758.5503011	743.5525068	804.8787535	659.0988349	731.7841393	505.9480745	478.8575814	434.9549814	479.6529011	385.6730268	465.1665841	500.7425312	98.86647593
