phenotype	YPD_growth
A05_18	18.85895483
A11_85	18.97383715
A11_21	19.63350132
A08_68	19.86325918
A05_43	20.24686722
A05_75	20.40455617
A05_45	20.62932977
A08_14	20.73812246
A11_75	20.8390275
A06_09	20.86331509
A07_58	20.98786398
A11_73	21.07780842
A03_28	21.10253579
A11_01	21.12071555
A08_60	21.16383391
A01_19	21.30117861
A09_84	21.30233394
A02_11	21.38217108
A02_68	21.43438238
A02_23	21.49386844
A02_66	21.49715383
A07_14	21.50331212
A02_58	21.51288281
A05_79	21.52504049
A03_82	21.55790967
A10_50	21.56787143
A07_24	21.6118795
A09_07	21.61839943
A05_01	21.64591681
A01_45	21.68956979
A06_44	21.74674512
A06_61	21.7515222
A10_82	21.75966799
A07_42	21.76313944
A04_09	21.77027265
A09_14	21.79114439
A03_16	21.7981407
A05_55	21.79829369
A09_34	21.81478764
A04_32	21.81822476
A11_27	21.8295326
A08_26	21.85416477
A05_33	21.85618816
A02_09	21.8739743
A03_24	21.88368159
A10_48	21.88431776
A05_20	21.8932116
A04_80	21.90108039
A03_66	21.90116787
A08_54	21.90560704
A03_12	21.9072601
A05_93	21.91832121
A01_81	21.94415448
A09_03	21.98295331
A04_42	21.98494238
A08_16	22.0643677
A09_65	22.06740717
A05_68	22.08718364
A10_26	22.09053822
A07_56	22.09171882
A05_30	22.12191271
A03_46	22.13879515
A02_27	22.14869255
A09_11	22.17659904
A02_60	22.17792151
A04_93	22.17821998
A02_17	22.17889339
A02_37	22.18626667
A11_83	22.20308102
A03_74	22.21050197
A04_38	22.22165319
A11_13	22.2327354
A09_76	22.23819879
A02_90	22.24860399
A03_72	22.25939946
A09_82	22.2708636
A05_22	22.28951401
A05_91	22.30019335
A10_74	22.31697745
A04_16	22.31924312
A11_63	22.32784746
A05_60	22.3588814
A02_88	22.36776192
A09_92	22.3792657
A06_23	22.38208831
A10_56	22.3884599
A05_14	22.3918627
A05_73	22.39678735
A10_02	22.39767038
A04_54	22.40010855
A04_22	22.42095236
A03_08	22.4269536
A05_83	22.42811021
A01_51	22.43770118
A03_14	22.43845817
A08_56	22.43849438
A03_62	22.45576014
A10_11	22.46084925
A11_67	22.48286641
A04_30	22.48933866
A10_46	22.49606134
A10_32	22.50858375
A08_12	22.50884263
A04_52	22.51228284
A02_72	22.51362851
A11_45	22.5171639
A01_15	22.51909541
A04_34	22.53087735
A11_23	22.5315039
A07_48	22.54080212
A09_56	22.54288165
A06_54	22.54307741
A03_58	22.56192434
A09_26	22.59164739
A01_49	22.59285037
A09_90	22.60323546
A07_16	22.6117643
A04_13	22.61452746
A06_84	22.61548911
A03_30	22.62440593
A10_16	22.6316845
A11_81	22.63578195
A02_19	22.64074835
A03_42	22.64193704
A08_62	22.64293605
A07_02	22.65883754
A02_74	22.66349625
A08_96	22.66970252
A07_69	22.67259154
A06_11	22.70298392
A09_74	22.70562578
A07_73	22.70565511
A11_07	22.70985685
A11_69	22.71104834
A11_59	22.71794317
A11_17	22.71811856
A06_33	22.71845132
A06_82	22.72877476
A02_05	22.73490757
A11_05	22.74098374
A03_10	22.74744596
A08_10	22.74808488
A08_44	22.75487769
A04_48	22.75913684
A11_57	22.76016247
A07_63	22.7612202
A11_93	22.76558329
A07_79	22.76581964
A08_80	22.77363412
A02_03	22.79211724
A03_92	22.80951805
A08_52	22.81375075
A01_76	22.81413752
A04_50	22.81789996
A05_37	22.83123704
A05_48	22.85075615
A10_78	22.85234201
A02_48	22.86186365
A02_94	22.87908881
A10_88	22.87937665
A10_13	22.88043546
A03_88	22.88923203
A03_76	22.89546072
A06_07	22.89844769
