individual	Lactate	Lactose	Maltose	Mannose
A01_01	-0.019638655	-0.52040382	-3.945066791	2.134629349
A01_02	0.649474779	-0.586994385	-5.397351544	0.319899855
A01_03	0.509507778	0.840991766	4.18990132	1.540693766
A01_04	-1.059526082	-1.697733494	2.081066393	-1.993641726
A01_05	0.352880804	-0.186945499	1.053090689	0.450747062
A01_06	1.61208391	1.448997762	2.366040693	0.798032194
A01_07	-0.428746576	-0.93161771	0.962588871	-0.014763325
A01_08	-0.913117126	-0.724277442	-0.424312976	-0.500962159
A01_09	-0.724658788	-0.482957526	-1.118418785	-1.450938987
A01_10	0.267525888	-0.207050884	2.851922919	-0.065454019
A01_11	1.874662881	3.223739216	-0.327623145	0.10347088
A01_12	2.108485189	2.426645245	1.770467044	0.240809132
A01_13	-0.565478986	-1.154717154	4.119222724	2.476372855
A01_14	1.132140054	0.258056444	1.516361725	1.115027265
A01_15	1.537437004	1.036230744	2.57751379	0.680873692
A01_16	1.097627376	0.432742117	1.57431236	-0.247116663
A01_17	1.20464539	6.714887341	1.937965782	-0.406541813
A01_18	-1.227808766	-2.111438274	-0.465665513	-1.379715143
A01_19	0.718852227	0.263162424	0.903265174	-1.607710622
A01_20	0.134791673	0.383343613	1.80582044	-0.585031348
A01_21	1.294441452	1.08403381	-4.891352629	0.752448858
A01_22	1.909291534	1.910671304	-2.984512015	1.296906725
A01_23	-1.747837807	-1.867723048	-4.842413139	-0.555853747
A01_24	-0.825493529	-0.806528284	3.761197753	-0.533272377
A01_25	-1.250213851	-0.274298277	1.025516631	-0.281188284
A01_26	-0.939166387	-0.684888529	2.636998043	-0.253956828
A01_27	1.301176012	1.507446476	4.477785841	1.453146191
A01_28	-0.828754561	-1.519401424	2.573380651	1.197011671
A01_29	-1.494402059	-1.448966266	-0.154234031	0.392869399
A01_30	-0.975223166	-1.849465145	-1.219270836	-0.326889551
A01_31	-1.561906383	-2.654695203	-0.654819129	-1.654958383
A01_32	2.055751861	1.86313297	3.078626829	0.038860323
A01_33	1.125346037	0.124295233	4.023912734	-0.849953348
A01_34	2.966060892	2.255081535	2.130637817	0.821533209
A01_35	0.509143538	0.747699665	-4.202733525	1.497111164
A01_36	0.621731765	0.765898019	3.183236688	0.652177454
A01_37	-0.229502977	0.042458376	-7.841608661	0.787056288
A01_38	1.055090185	2.565644204	4.389312858	0.921276943
A01_39	1.37105942	2.181389676	-2.937233421	1.062049275
A01_40	0.409292264	0.172308083	-5.356063977	0.274868919
A01_41	-0.743388997	-2.326888624	-5.331271349	-0.004564392
A01_42	0.194814137	0.503400029	-4.945539514	-0.462270969
A01_43	2.479417591	2.402114375	3.890681557	0.348916014
A01_44	-1.811863307	-1.95212341	-6.923870357	0.193393978
A01_45	1.343199842	1.255445921	3.295814106	2.039105097
A01_46	2.021614061	0.993723709	-1.199869976	-0.273120944
A01_47	0.521517255	0.165488221	2.111212598	-0.0584279
A01_48	0.579642329	0.322075966	-4.669805375	0.142687551
A01_49	-1.304610003	-1.130509133	2.352350608	0.237611022
A01_50	1.34430903	1.39458482	2.648186414	0.735586943
A01_51	0.446520074	0.229248978	2.012845137	1.603712944
A01_52	-0.36353404	-1.383306378	-0.418876378	-1.434100795
A01_53	-1.921257003	-4.207172311	-0.637576812	0.296267002
A01_54	-0.896583583	-0.808525165	4.350099467	0.654174903
A01_55	1.634189179	1.594528531	-0.018132205	-0.854558589
A01_56	-0.08246664	0.199985936	4.59789046	1.599133811
A01_57	-1.946618349	-2.061753927	-0.689809759	-2.536249561
A01_58	1.892304862	-0.192981158	3.498397417	0.396976764
A01_59	0.419071263	1.812941664	1.047026327	0.061378191
A01_60	-3.222675782	-2.350094768	-2.449106591	-1.336044015
A01_61	-1.622957564	-1.895551019	0.626065942	-1.763718951
A01_62	1.572486925	1.654292901	2.974803024	0.860316795
A01_63	-0.224150808	1.008386546	-4.387922734	-0.261860589
A01_64	0.415739977	2.043447485	2.648696794	0.880354357
A01_65	0.762851739	-0.446230525	0.212035076	-0.187645826
A01_66	1.574974607	1.533126945	-3.770965843	-0.137843144
A01_67	2.719741383	2.883720492	-2.59730078	1.296771073
A01_69	-1.019323538	-1.420988222	1.9445481	0.248035292
A01_70	0.448710672	0.559098026	-3.714359163	0.454329072
A01_71	1.854612521	2.472563699	6.05206735	0.36118255
A01_72	1.161958392	1.249220563	0.985049782	0.387220322
A01_73	0.518865713	-0.375002609	-6.686996385	-0.387161041
A01_74	1.456430289	-0.19930307	3.134617535	1.430067123
A01_75	1.382534742	1.95445903	4.032458297	0.886522679
A01_76	0.409510442	0.377802258	3.117101246	0.108085211
A01_77	1.346269185	1.042313427	-3.595978063	0.320274384
A01_79	1.329846864	1.473065906	2.80789691	0.647462578
A01_80	-0.450929089	-0.07898891	3.135981308	0.008475726
A01_81	0.568356776	1.172103321	-3.603168878	-1.260439809
A01_82	-0.082397182	0.421138266	1.768838885	0.598783571
A01_83	-0.766992635	-0.692576027	3.097383135	0.173640115
A01_84	0.720052412	0.914177786	1.86391255	-0.414494666
A01_85	0.822783714	-0.921209395	2.073298484	0.426252087
A01_86	1.73327146	1.139616036	-6.053689103	0.611720339
A01_87	-1.132234183	-0.319107083	3.294777932	1.136574694
A01_88	0.804987524	0.288226444	3.355067143	-0.429990537
A01_89	1.474229498	1.363722711	-2.570889997	1.465971751
A01_90	0.069202562	-0.551339315	1.449981548	-0.155353682
A01_91	1.789630818	6.389205711	3.597538694	-0.400968796
A01_92	1.026987132	2.194000828	5.986844577	1.018517256
A01_93	-0.691285044	-0.848028895	-5.943856616	0.006794748
A01_94	0.419958086	0.378301664	2.857991781	-0.312381293
A01_95	0.791315395	0.916104386	0.891479836	-0.891344796
A01_96	1.76916233	1.205754327	0.906776048	0.172108016
A02_01	-1.587178428	-1.731677905	-6.830135178	0
A02_02	-0.549687499	-1.440245776	2.402558018	-1.054704447
A02_03	-2.600934048	-1.676054648	-6.356246897	2.423044845
A02_04	-1.892469198	-1.84000924	-1.603760027	0.233507727
A02_05	2.895074951	4.462252999	1.865993284	1.573072834
A02_06	1.261442963	1.509792692	2.078581556	1.746531964
A02_07	1.045778352	0.923982464	-5.139605347	1.406584104
A02_08	0.221174389	-0.346236082	2.963576356	-0.768414842
A02_09	-2.324041173	-3.174383586	-5.786168992	-1.232175282
A02_10	1.399610445	1.226960806	2.153500694	0.774667128
A02_11	-0.587257788	-0.135078396	2.629789324	-1.075956138
A02_12	1.175800631	1.030761999	-4.173569757	0.948445072
A02_13	0.064086704	-1.14319978	-6.652189276	0.019838416
A02_14	-1.878093084	-1.811081963	0.059386796	0.664707266
A02_15	0.678638512	0.073351357	4.286880407	1.754949387
A02_16	-1.341255955	-0.794770562	1.727658997	-0.166597925
A02_17	-1.036541837	0.066665017	3.277886823	0.436417722
A02_18	1.412774405	2.678626879	5.269419559	3.188543152
A02_19	-3.079934939	-4.542514215	0.317594883	-0.219166809
A02_20	1.584915967	5.634173946	-3.032916306	0.57631934
A02_21	1.624960173	0.616321971	2.332239169	2.849165699
A02_22	0.277710625	-0.170695194	4.198183391	-1.507244866
A02_23	-0.872899957	-1.072878645	1.955207153	-0.200834817
A02_24	-0.15385129	3.852148756	3.846280722	-0.347244308
A02_25	1.979948392	1.4304215	2.573026246	0.792692546
A02_26	-0.963693041	-1.493467931	1.322033183	1.537235672
A02_27	0.418609808	0.857969589	-4.290659928	-0.559249062
A02_29	1.246791433	1.047027944	2.064833961	1.343500419
A02_30	0.642434156	-0.025309975	4.187576504	0.033686682
A02_32	-0.007202981	0.558750971	-6.105438978	-1.783748054
A02_33	0.757825592	1.182044453	3.460162552	2.453318687
A02_34	0.831613451	0.020939516	-5.792105817	-0.52800488
A02_35	0.914692151	-0.079516186	3.450500177	-0.437267488
A02_36	-0.174927393	-0.271803166	2.097968761	0.503736414
A02_37	0.004711049	-0.321354829	0.351448503	1.327167416
A02_38	0.858042029	1.551940384	-3.240218454	0.352937896
A02_39	-2.12651528	-1.304466863	-7.84410907	0.119119592
A02_40	1.2935478	0.769540886	1.067830869	0.815508003
A02_41	0.650965782	3.950325649	4.658641823	0.316886492
A02_43	-1.264951486	-2.843161754	1.197345402	0.231031294
A02_44	-1.085835083	0.057662552	-6.284320029	-0.2669613
A02_45	-1.186189299	-1.380749698	-0.571387673	-0.80908074
A02_46	0.140207356	4.111589207	0.209078174	0.001601219
A02_47	2.015590803	1.89933297	2.37518365	-0.432492519
A02_48	-1.487438117	-1.738887785	-6.576700014	-0.731222976
A02_49	-1.409017986	-2.222590833	-6.367858553	-0.674181704
A02_50	1.232533517	0.159164707	-0.973521113	-0.88229353
A02_51	1.195776949	1.458708232	2.000749537	-1.101122338
A02_52	-1.021020455	0.871937535	1.827563476	-0.15378638
A02_53	2.442067098	2.931112499	2.498932253	1.051102609
A02_54	-0.184576335	-1.847814967	2.0230654	-1.10911004
A02_55	-0.622458627	-3.161542248	1.956697566	-0.967063092
A02_56	0.253641506	-0.178696297	0.797369942	0.731703412
A02_57	0.277049562	0.03911111	0.744675292	-0.534729244
A02_58	0.205772495	-0.377342067	1.368221165	-1.094195304
