experiment	cell_type
B.fo.Sp.1.1	B
B.fo.Sp.1.10	B
B.fo.Sp.1.11	B
B.fo.Sp.1.12	B
B.fo.Sp.1.13	B
B.fo.Sp.1.14	B
B.fo.Sp.1.15	B
B.fo.Sp.1.16	B
B.fo.Sp.1.2	B
B.fo.Sp.1.3	B
B.fo.Sp.1.4	B
B.fo.Sp.1.5	B
B.fo.Sp.1.6	B
B.fo.Sp.1.8	B
B.fo.Sp.1.9	B
MF.PC.1.1	MF
MF.PC.1.10	MF
MF.PC.1.11	MF
MF.PC.1.12	MF
MF.PC.1.13	MF
MF.PC.1.14	MF
MF.PC.1.15	MF
MF.PC.1.16	MF
MF.PC.1.2	MF
MF.PC.1.3	MF
MF.PC.1.4	MF
MF.PC.1.5	MF
MF.PC.1.6	MF
MF.PC.1.7	MF
MF.PC.1.8	MF
MF.PC.1.9	MF
MF.PC.2.1	MF
MF.PC.2.2	MF
MF.PC.2.3	MF
MF.PC.2.4	MF
MF.PC.2.5	MF
MF.PC.2.6	MF
MF.PC.2.7	MF
MF.PC.2.8	MF
NK.Sp.1.1	NK
NK.Sp.1.10	NK
NK.Sp.1.11	NK
NK.Sp.1.12	NK
NK.Sp.1.13	NK
NK.Sp.1.14	NK
NK.Sp.1.15	NK
NK.Sp.1.16	NK
NK.Sp.1.17	NK
NK.Sp.1.18	NK
NK.Sp.1.2	NK
NK.Sp.1.3	NK
NK.Sp.1.4	NK
NK.Sp.1.5	NK
NK.Sp.1.6	NK
NK.Sp.1.7	NK
NK.Sp.1.8	NK
NK.Sp.1.9	NK
T.4.Nve..2.1	T
T.4.Nve..2.2	T
T.4.Nve.Sp.1.1	T
T.4.Nve.Sp.1.10	T
T.4.Nve.Sp.1.11	T
T.4.Nve.Sp.1.12	T
T.4.Nve.Sp.1.13	T
T.4.Nve.Sp.1.14	T
T.4.Nve.Sp.1.15	T
T.4.Nve.Sp.1.16	T
T.4.Nve.Sp.1.2	T
T.4.Nve.Sp.1.3	T
T.4.Nve.Sp.1.4	T
T.4.Nve.Sp.1.5	T
T.4.Nve.Sp.1.6	T
T.4.Nve.Sp.1.7	T
T.4.Nve.Sp.1.8	T
T.4.Nve.Sp.1.9	T
Tgd.Sp.1.1	Tgd
Tgd.Sp.1.2	Tgd
Tgd.Sp.1.3	Tgd
Tgd.Sp.1.4	Tgd
Tgd.Sp.1.5	Tgd
Tgd.Sp.1.6	Tgd
Tgd.Sp.1.7	Tgd
Tgd.Sp.1.8	Tgd
