ID_STRAIN	YPDCAFEIN50_40h
AAA	0.128509042
AAB	0.009173236
AAC	0.037208699
AAD	0.055560943
AAE	0.030538538
AAI	0.082286369
AAL	0.149640011
AAM	0.089124202
AAN	0.175386132
AAP	0.117105572
AAQ	0.135467807
AAR	0.021517644
AAS	0.09175171
AAT	0.019966621
AAV	0.011565589
ABA	0.227438471
ABB	0.138890035
ABD	0.102234143
ABE	0.080906308
ABG	0.38262481
ABH	0.267502616
ABI	0.092332515
ABK	0.234901035
ABL	0.117508079
ABM	0.275998241
ABP	0.056898682
ABQ	0.087606093
ABR	0.075197303
ABS	0.105670501
ABT	0.051898561
ABV	0.066894966
ACA	0.082155506
ACB	0.07286068
ACC	0.138396285
ACD	0.258454839
ACF	0.054027023
ACG	0.082086789
ACH	0.087881357
ACI	0.044164522
ACK	0.16712493
ACL	0.195749568
ACM	0.154201038
ACN	0.073355198
ACP	0.045612962
ACR	0.038845784
ACS	0.127284033
ACT	0.084249571
ACV	0.091004176
ADA	0.260930513
ADB	0.074082154
ADC	0.065219116
ADD	0.051380047
ADE	0.340549322
ADF	0.329736018
ADG	0.331752443
ADH	0.114146442
ADI	0.010387453
ADL	0.147207058
ADM	0.036677914
ADN	0.1629205
ADP	0.093792088
ADQ	0.020095141
ADR	0.2392282
ADS	0.182045583
ADT	0.041006967
ADV	0.068119475
AEA	0
AEB	0.02515067
AEC	0.007598784
AEF	0.058937744
AEG	0.351205376
AEH	0.081881752
AEI	0.021518911
AEL	0.068182139
AEM	0
AEN	0.060794628
AEP	0.05309246
AEQ	0.008911222
AER	0.177951239
AES	0.076940326
AFB	0.154472342
AFC	0.053689873
AFD	0.296288702
AFE	0.093247355
AFG	0.038203513
AFH	0
AFI	0.105861934
AFK	0.045245799
AFL	0.125284324
AFM	0.029135728
AFN	0.066321001
AFP	0.063899244
AFQ	0.18080168
AFR	0.076542097
AFS	0.069857403
AFT	0.064993078
AFV	0.246891728
AGA	0.02170805
AGB	0.005659669
AGC	0.060890956
AGE	0.0518051
AGF	0.16439309
AGG	0.019030241
AGH	0.083382239
AGI	0.090265539
AGK	0.187886519
AGL	0.025774335
AGM	0.116427841
AGN	0.064973648
AGP	0.079831191
AGR	0.332271362
AGS	0.048612385
AGT	0.077172304
AGV	0.129986741
AHA	0.084681282
AHC	0.256363898
AHD	0.100900125
AHE	0.042325975
AHF	0.127563126
AHG	0.17901889
AHH	0.203101781
AHI	0.034374255
AHK	0.066057735
AHL	0.261425756
AHM	0.066839135
AHN	0.075981916
AHP	0.151668607
AHQ	0.022916575
AHR	0.023357274
AHS	0.010702306
AHT	0.060741735
AHV	0.123573097
AIA	0.097362072
AIB	0.238888451
AIC	0.128313423
AID	0.127808838
AIE	0.057878146
AIF	0.041659175
AIG	0
AII	0.032003633
AIK	0.106610473
AIL	0.029513704
AIM	0.150403392
AIN	0.075142799
AIP	0.093461095
AIQ	0.042517544
AIR	0.100331244
AIT	0.018111313
AKB	0.274319908
AKD	0.219043624
AKE	0.310304412
AKG	0.19706212
AKH	0.259927287
AKI	0.244391317
AKL	0.15892682
AKM	0.119335467
AKN	0.465957022
AKP	0.135126096
AKQ	0.275153019
AKR	0.100336013
AKS	0.206591369
AKT	0.040032332
AKV	0.118531428
ALA	0.066590047
ALB	0.089508731
ALC	0.1162556
ALD	0
ALE	0.132217434
ALG	0.181771649
ALH	0.075027644
ALI	0.327492405
ALK	0.100105729
ALL	0.085758404
ALM	0.109663417
ALN	0.05230773
ALP	0.046123637
ALQ	0.064156502
ALR	0.068120175
ALS	0.020067912
ALT	0.01054182
ALV	0.001621872
AMA	0.048524891
AMB	0.158084319
AMC	0.286508509
AMD	0.32065626
AMF	0.287472731
AMG	0.056728861
AMH	0.278175312
AML	0.047960601
AMM	0.335824065
AMP	0.03349268
AMS	0.031848135
AMT	0.049610397
ANA	0.247770989
ANC	0.528711851
AND	0.447586968
ANE	0.476609726
ANF	0.431403618
ANG	0.440729725
ANH	0.492272886
ANI	0.468027884
ANK	0.450375023
ANL	0.10773464
ANM	0.060790779
ANN	0.350068032
ANP	0.28210253
ANQ	0.329553754
ANR	0.049958051
ANS	0.020725947
ANT	0.008905286
ANV	0.021352039
APA	0.021445524
APC	0.018215349
APD	0.011334514
APE	0.002217997
APF	0.01300469
APG	0.147707617
APH	0.200679396
API	0.066425811
APL	0.196477575
APM	0.051625918
APQ	0.120592157
APR	0.072774852
APS	0.028660949
APT	0.070517722
AQA	0.072538542
AQB	0.017325037
AQC	0.04539292
AQE	0.052940524
AQG	0.036623227
AQH	0.072372159
AQI	0.095029811
AQM	0.076632836
AQN	0.049206865
AQP	0
AQQ	0.034092485
AQR	0.047021461
AQS	0.075995875
AQT	0.011836415
ARA	0
ARB	0
ARC	0.073795257
ARE	0.045559047
ARH	0.116302505
ARI	0.312110254
ARK	0.086876795
ARL	0.084730101
ARM	0.006837607
ARN	0.086288987
ARP	0.113577032
ARQ	0.061149404
ARR	0.029922439
ARS	0.049340138
ART	0.177735117
ARV	0.078905419
ASB	0.271077885
ASC	0.13194491
ASD	0
ASE	0.144624358
ASG	0.078956878
ASH	0.015683911
ASL	0.115063611
ASM	0.076754929
ASN	0.060039826
ASP	0.167395902
ASR	0.162590292
ASS	0.105384142
AST	0.22501209
ASV	0.130642553
ATA	0.099685358
ATB	0.064357179
ATC	0.070442195
ATD	0.331821629
ATE	0.176797611
ATH	0.089654861
ATM	0.038781954
ATN	0.027787628
ATP	0.257342419
ATQ	0.072060419
ATR	0.06111288
ATS	0.210522579
ATV	0.016179928
AVB	0.040706537
AVC	0.002760252
AVD	0
AVH	0.009619499
AVK	0.153660258
AVL	0.017546641
AVM	0.028107401
AVN	0.28987235
AVQ	0.420240845
AVS	0.385557417
AVT	0.361356579
AVV	0.185227756
BAA	0.130433064
BAB	0.087059815
BAC	0.120967631
BAD	0.152262667
BAE	0.093562518
BAF	0.387194254
BAG	0.116447392
BAH	0.25204044
BAI	0.419601565
BAK	0.370145154
BAL	0.326696971
BAM	0.164757829
BAN	0.384199538
BAP	0.356509792
BAQ	0.195768891
BAR	0.114624543
BAS	0.111749897
BAT	0.123767884
BAV	0.129988118
BBA	0.117034548
BBB	0.122677512
BBC	0.128671258
BBD	0.060530275
BBE	0.019228762
BBF	0.086687321
BBG	0.173178624
BBH	0.059220567
BBI	0.231193378
BBK	0.047284801
BBL	0.055317439
BBM	0.341852707
BBP	0.235395204
BBQ	0.31840909
BBR	0.299255015
BBS	0.281742906
BBT	0.040420786
BBV	0.170621079
BCA	0.095869431
BCB	0.417204397
BCC	0.283115254
BCD	0.318323263
BCE	0.279723323
BCF	0.286166582
BCG	0.234488123
BCH	0.139463605
BCI	0.192394003
BCK	0.175782241
BCL	0.302421533
BCM	0.298726732
BCN	0.379435564
BCP	0.335991381
BCQ	0.189535938
BCS	0.20201678
BCT	0.206297209
BCV	0.100802671
BDA	0.195898366
BDB	0.007219825
BDC	0.038175902
BDD	0.113095189
BDE	0.093886452
BDF	0.091396792
BDG	0.085826277
BDH	0.202190565
BDI	0.081158559
BDK	0.18517486
BDL	0.279093656
BDM	0.216257623
BDN	0.239407619
BDP	0.248418477
BDQ	0.091736347
BDR	0.130042747
BDS	0.294998796
BDT	0.17307505
BDV	0.128248516
BEA	0.223848371
BEB	0.224472879
BEC	0.181358655
BED	0.220903763
BEE	0.326993464
BEF	0.169135355
BEG	0.282046022
BEH	0.396592723
BEK	0.060379271
BEM	0.072650508
BEN	0.266825195
BEP	0.046356315
BEQ	0.089385431
BER	0.027345691
BES	0.033933627
BET	0.059733481
BEV	0.065314724
BFA	0.387393799
BFC	0.063584398
BFD	0.052552418
BFG	0.04855048
BFH	0.022606993
BFK	0.110719503
BFL	0.135218511
BFM	0.05359777
BFN	0.115573459
BFP	0.362725973
BFQ	0.08824529
BFR	0.090278447
BFS	0.1109768
BFT	0.049364436
BFV	0.016241474
BGA	0.015882254
BGB	0.024933543
BGC	0.051736453
BGD	0.06118658
BGE	0.152564741
BGG	0.038235171
BGH	0.080154641
BGI	0.036561972
BGK	0.17919121
BGL	0.069442531
BGM	0.142580277
BGN	0.025864782
BGQ	0.058477267
BGV	0.050586314
BHA	0.301288842
BHB	0.403053704
BHC	0.143365454
BHD	0
BHE	0.156332951
BHG	0.045235748
BHH	0.24982871
BHI	0.286902837
BHK	0.128162628
BHM	0.077795225
BHN	0.338381879
BHP	0.40700451
BHR	0.387980847
BHS	0.380607935
BHT	0.025332971
BHV	0.086051532
BIA	0.077007711
BIB	0.076335627
BIE	0.228173429
BIF	0.039759311
BIG	0.092366432
BIH	0.080743993
BII	0.238897434
BIK	0.118605612
BIL	0.146287893
BIM	0.150561911
BIN	0.172818172
BIP	0.026573383
BIQ	0.181476441
BIS	0.235591546
BIT	0.149488581
BKA	0.231703731
BKC	0.091076246
BKD	0.075683335
BKE	0.028751722
BKF	0.121443299
BKH	0.115118085
BKI	0.109445579
BKK	0.092340212
BKL	0.085828504
BKM	0.160842333
BKP	0.108881609
BKQ	0.056602783
BKR	0.031119269
BKS	0.063531964
BKT	0.102605697
BLA	0.129776603
BLB	0.113375733
BLC	0.081527918
BLD	0.072409787
BLE	0.101646388
BLF	0.139052315
BLG	0.186710153
BLH	0.095760571
BLI	0.03742383
BLK	0.044178284
BLM	0.06661453
BLN	0.061238428
BLP	0.095515621
