mouse_gene_symbol	yeast_gene_id
mt-Co1	Q0045
mt-Cytb	Q0105
Eef1b2	YAL003W
Eef1d	YAL003W
Ticam2	YAL007C
Ppp2r1a	YAL016W
Ppp2r1b	YAL016W
Ppp4r1	YAL016W
Cnot6l	YAL021C
Slc29a3	YAL022C
Vamp4	YAL030W
Drg1	YAL036C
Pkm	YAL038W
Ergic3	YAL042W
Calr	YAL058W
Canx	YAL058W
Cryzl1	YAL060W
Sord	YAL060W
Tmed2	YAR002C-A
Tmed3	YAR002C-A
Tmed5	YAR002C-A
Rpa1	YAR007C
Paics	YAR015W
Impdh1	YAR073W
Irak1	YBL009W
Irak2	YBL009W
Irak3	YBL009W
Sorcs2	YBL017C
Sorl1	YBL017C
Sort1	YBL017C
Lonp1	YBL022C
Lonp2	YBL022C
Mcm2	YBL023C
Nsun2	YBL024W
Rpl19	YBL027W
Hnrnpk	YBL032W
Ap2a2	YBL037W
Ctps2	YBL039C
Kdelr1	YBL040C
Kdelr2	YBL040C
Psmb1	YBL041W
Ehd3	YBL047C
Eps15	YBL047C
Itsn1	YBL047C
Itsn2	YBL047C
Napa	YBL050W
Sel1l	YBL061C
Prdx6	YBL064C
Prps1l3	YBL068W
Prps2	YBL068W
Rps8	YBL072C
Gabarap	YBL078C
Bin3	YBL085W
Rpl23	YBL087C
Slc36a4	YBL089W
Slc38a1	YBL089W
Slc38a2	YBL089W
Pa2g4	YBL091C
Vapa	YBL091C-A
Rpl32	YBL092W
Kmo	YBL098W
Arrdc1	YBL101C
Arrdc3	YBL101C
Txnip	YBL101C
Sft2d2	YBL102W
Pigv	YBR004C
Ipo5	YBR017C
Tnpo1	YBR017C
Rps6ka1	YBR028C
Rps6ka4	YBR028C
Rps6ka5	YBR028C
Cds2	YBR029C
Rpl4	YBR031W
Acsl1	YBR041W
Acsl4	YBR041W
Agpat3	YBR042C
Lpgat1	YBR042C
Rps11	YBR048W
Dmtf1	YBR049C
Myb	YBR049C
Usp7	YBR058C
Slc7a2	YBR068C
Slc7a6	YBR068C
Slc7a7	YBR068C
Slc7a8	YBR068C
Ermp1	YBR074W
Eif3a	YBR079C
Nsf	YBR080C
Sil1	YBR101C
Tbl1x	YBR103W
Kdm6b	YBR112C
Dab2ip	YBR140C
Rasa2	YBR140C
Rasa3	YBR140C
Rasa4	YBR140C
Rasal3	YBR140C
Ddx24	YBR142W
Etf1	YBR143C
Polr2e	YBR154C
Arl1	YBR164C
Hspa4	YBR169C
Hspa4l	YBR169C
Hspa8	YBR169C
Hsph1	YBR169C
Pomp	YBR173C
Abhd2	YBR177C
Rps6	YBR181C
Acer3	YBR183W
Rps9	YBR189W
Rpl21	YBR191W
Gpi1	YBR196C
Abhd4	YBR204C
Abhd8	YBR204C
Cnih4	YBR210W
Gaa	YBR229C
Arpc1a	YBR234C
Arpc1b	YBR234C
Slc12a6	YBR235W
Slc12a7	YBR235W
Slc2a6	YBR241C
Dpagt1	YBR243C
Mettl23	YBR271W
Sec61a1	YBR283C
Ampd2	YBR284W
Ampd3	YBR284W
Ndfip1	YBR290W
Slc20a1	YBR296C
Slc2a3	YBR298C
Slc2a8	YBR298C
Rer1	YCL001W
Pgs1	YCL004W
Hnrnpm	YCL011C
Wdr26	YCL039W
P4hb	YCL043C
Pdia3	YCL043C
Tmx1	YCL043C
Tmx3	YCL043C
Emc1	YCL045C
Nln	YCL057W
Mfsd1	YCL069W
Mfsd10	YCL069W
Mfsd14a	YCL069W
Mfsd14b	YCL069W
Mfsd5	YCL069W
Septin1	YCR002C
Septin11	YCR002C
Septin6	YCR002C
Septin8	YCR002C
Septin9	YCR002C
Cs	YCR005C
Enpp4	YCR026C
Enpp5	YCR026C
Rps14	YCR031C
Ncor1	YCR033W
Soat1	YCR048W
Soat2	YCR048W
Atxn10	YCR054C
Pgls	YCR073W-A
Cnot1	YCR093W
Akr1a1	YCR107W
Akr1c13	YCR107W
Kcnab2	YCR107W
Ppm1g	YDL006W
Psmc1	YDL007W
Tecr	YDL015C
Gpd1l	YDL022W
Ddx54	YDL031W
Naa15	YDL040C
Egr1	YDL048C
Rps29	YDL061C
Ube2i	YDL064W
Pex19	YDL065C
Idh1	YDL066W
Idh2	YDL066W
Baz1a	YDL070W
Baz2a	YDL070W
Baz2b	YDL070W
Bptf	YDL070W
Brd2	YDL070W
Brd4	YDL070W
Bcap31	YDL072C
