orf	mRNA	Protein	Length	dN	CAI
YOR210W	627.9036706	339759741.5	213	0	0.4365
YHL015W	6323.262934	12197809721	366	0	0.8272
YEL026W	1558.587693	2095181071	381	0	0.6347
YOR369C	7625.074846	2431573659	432	0	0.844
YBR109C	650.7805547	3442967019	444	0	0.2201
YPR165W	993.5116036	1767562560	630	0	0.2669
YBR088C	413.6022106	2868967837	777	0	0.2561
YLR293C	1666.881997	3434002072	660	0.002300005	0.6214
YKL013C	245.8581765	214843455.8	516	0.002799995	0.1404
YOR117W	289.5614947	2600930328	1305	0.003200017	0.1946
YGL070C	226.49395	71351092.5	369	0.003700005	0.16
YFL038C	786.6742921	2713820700	621	0.004300005	0.1851
YJR123W	6306.637257	7571341679	678	0.00430001	0.8384
YML001W	520.0038809	1863384545	627	0.004599995	0.1766
YEL020W-A	298.572153	1468202571	264	0.005200003	0.2186
YFL037W	656.1054784	1430573624	1374	0.005200019	0.2714
YCR009C	332.4640146	2257013053	798	0.005500006	0.2104
YJR121W	772.5258603	6626294157	1536	0.005500015	0.4245
YER148W	549.0420332	1155831391	723	0.005700013	0.1726
YGL048C	480.8624387	3132979789	1218	0.005800009	0.2178
YLR441C	4422.692364	18420057424	768	0.005900019	0.6958
YEL054C	1996.2249	73359020.89	498	0.00600001	0.605
YOR185C	165.7531153	2972296045	663	0.006200016	0.2573
YOL139C	1444.399321	5073674735	642	0.006500003	0.3866
YFL005W	372.2844345	4199010684	648	0.006500014	0.1964
YML009C	257.7170124	477909286.8	213	0.006600014	0.1305
YOR167C	5448.7377	2890879853	204	0.006899997	0.5284
YOL012C	248.2547	72999504.61	405	0.007100021	0.1699
YGL058W	202.4044624	10000867.49	519	0.007999995	0.2255
YDR045C	276.947663	64185050.67	333	0.008000017	0.144
YHL011C	345.607205	2547259320	963	0.008500023	0.2417
YFR004W	416.6801558	1651304766	921	0.00910002	0.204
YML063W	3183.627284	3791436472	768	0.009400027	0.7687
YHR132W-A	225.4741111	357943408.9	396	0.010299991	0.1122
YPR102C	3102.007176	59040614.09	525	0.010800006	0.7814
YER009W	1151.060375	593409564.4	378	0.010800019	0.3255
YKL058W	281.9096906	76625203.35	369	0.011100028	0.1013
YDR099W	585.3067186	2067617378	822	0.011300032	0.385
YDR177W	412.7391708	640476754.1	648	0.011300033	0.158
YER072W	1380.703255	1160970058	390	0.011399998	0.1367
YBL078C	98.68944	332712751.3	354	0.011599997	0.1496
YLR378C	655.8174397	3323846308	1443	0.011800009	0.2402
YNL244C	1241.169349	3448422504	327	0.011999998	0.2391
YKR059W	1515.550081	67641453.23	1188	0.012099994	0.7528
YLR259C	1288.961989	16022252469	1719	0.012399992	0.3818
YML106W	1187.168088	3317694041	681	0.0128	0.2555
YHR143W-A	524.5817116	1691440128	213	0.012899992	0.3086
YML092C	485.3184276	2511564014	753	0.013300042	0.1432
YBR196C	2416.73925	21610524707	1665	0.01339999	0.6813
YHR026W	1280.176162	140211479	642	0.013400053	0.2514
YJL138C	1914.200147	4473422417	1188	0.013500009	0.7512
YPL131W	4256.615936	5267669046	894	0.013699998	0.8299
YGR060W	1107.107236	1202462632	930	0.013700008	0.5014
YER177W	3004.296335	7685822482	804	0.013700041	0.323
YOR020C	996.8018376	4321724725	321	0.0138	0.3166
YBR135W	159.60896	8825280.954	453	0.013800034	0.1438
YMR260C	1002.690285	4016696754	462	0.013800036	0.4044
YPL220W	3506.877737	87486427.41	654	0.01400004	0.8206
YGL135W	4208.79027	10371068284	654	0.014200028	0.8325
YBR127C	918.5990946	6272927215	1554	0.014400005	0.39
YDR032C	732.1528157	2517594692	597	0.014499996	0.3673
YGR267C	375.9766642	832613114.7	732	0.015200039	0.2076
YER171W	85.32688455	288753443.4	2337	0.015399999	0.1504
YER025W	554.8632962	6940845326	1584	0.015600005	0.333
YBR143C	721.8253638	8325872581	1314	0.015600039	0.3336
YPR080W	5877.223097	452194625.1	1377	0.01560004	0.8709
YLR058C	1546.638039	7556140371	1410	0.016100042	0.5892
YPR181C	305.10851	2187039060	2307	0.016200008	0.2285
YER126C	321.5135781	1118029602	786	0.016299991	0.299
YLR208W	561.6057327	2309307543	894	0.0163	0.2627
YBR154C	447.0620995	1481247245	648	0.016300038	0.2567
YMR256C	334.3683534	290003655.6	183	0.016400051	0.2049
YDR054C	145.9244681	232283709.9	888	0.016500009	0.1891
YDR373W	237.8993976	403051922.2	573	0.016500028	0.1503
YER165W	1079.659564	18402265005	1734	0.0167	0.4882
YBR126C	324.1261576	1366458229	1488	0.016800043	0.187
YPR107C	70.08312086	75605842.75	627	0.017099991	0.1586
YMR217W	861.3987529	12839249009	1578	0.01729999	0.4622
YJR007W	381.9614618	8415754994	915	0.017500002	0.3709
YER136W	435.8620011	2473320870	1356	0.017500052	0.2335
YDL165W	193.6811924	160402466.8	576	0.017600003	0.131
YJL143W	361.934195	404047520.6	477	0.017600043	0.176
YGR240C	1076.542387	13403245737	2964	0.017800041	0.4659
YGR253C	433.9377081	1165775269	783	0.017800051	0.1622
YKL001C	218.1828673	3283800751	609	0.018199992	0.2672
YGR163W	88.742635	299093521.8	1026	0.018300036	0.1157
YNL330C	153.9736435	590654097.6	1302	0.018800028	0.1425
YMR300C	262.855073	1088187566	1533	0.018800041	0.2346
YMR203W	328.1745139	2153335988	1164	0.019199965	0.2739
YPR088C	453.7557682	1704951677	1626	0.019300057	0.1776
YGL123W	5225.166366	15277571629	765	0.019600085	0.8012
YKL170W	160.200503	763094280.8	417	0.01980005	0.1321
YPR086W	230.3042416	574665949.6	1038	0.01990004	0.1509
YJL166W	592.2661371	1754288785	285	0.019900053	0.2112
YJR063W	213.8859668	359443473.2	378	0.019900056	0.1995
YJL014W	339.7157554	4658193171	1605	0.019999985	0.2282
YAL038W	8551.031038	28440743909	1503	0.020399968	0.8933
YPL211W	362.4862092	1278898567	546	0.020400056	0.1868
YIL142W	432.7983614	3349220481	1584	0.020500071	0.193
YDR212W	303.9166592	4704207347	1680	0.020699999	0.2435
YDR502C	256.1858326	9099308088	1155	0.020700052	0.4975
YER062C	285.8523951	3009563673	753	0.020800001	0.2915
YER125W	198.3336636	1138142208	2430	0.020800081	0.186
YCR012W	8416.251053	43860294005	1251	0.021500098	0.8154
YJR016C	641.8331411	10965093079	1758	0.021600068	0.3785
YKL104C	219.1305413	4099383600	2154	0.02180007	0.2715
YLR291C	182.3720192	299173151	1146	0.021999927	0.1674
YGR173W	150.5996822	1558649074	1107	0.022000042	0.2061
YGL120C	294.5718781	1264938702	2304	0.022200024	0.2056
YPL093W	354.2777216	4666288711	1944	0.022600041	0.3599
YJR064W	652.9283009	4236775694	1689	0.022900026	0.2175
YPL061W	1387.66851	16533007065	1503	0.022900076	0.5203
YLR359W	1025.372487	2819669959	1449	0.023000021	0.3118
YDR516C	211.3090574	466121501.3	1503	0.023100155	0.1779
YOR310C	1382.174278	5690221402	1536	0.023399991	0.389
YJR077C	623.0328771	5323732401	936	0.023499953	0.363
YMR205C	985.7200942	9833814933	2880	0.023599964	0.512
YEL024W	160.593003	1683697544	648	0.023600158	0.3266
YMR186W	2005.901935	20946551357	2118	0.023699909	0.5811
YOL077C	378.741653	1437376490	876	0.02390002	0.2324
YBL068W	237.1354168	1356497525	984	0.024200095	0.1989
YDL143W	418.4726873	3388852610	1587	0.024200127	0.2254
YDL045W-A	204.0594773	141794894.1	288	0.024299981	0.1386
YAL005C	2114.752344	36204405650	1929	0.024600063	0.7094
YOL039W	3727.263808	5009782838	321	0.024600135	0.804
YJR070C	499.059665	2376307636	978	0.024900016	0.4004
YMR146C	625.3122327	4341714961	1044	0.025100048	0.2953
YGR195W	171.0787245	86866555.88	741	0.025100093	0.139
YGL191W	405.6957985	1784795199	390	0.025200021	0.212
YMR314W	405.0463611	2542717831	705	0.025200055	0.1586
YDL086W	202.4749373	853106667	822	0.025300023	0.1791
YGL190C	111.7844082	1085540383	1581	0.025399993	0.1314
YBR034C	368.6806381	1691594172	1047	0.025599974	0.2665
YOR271C	433.4512246	1115010185	984	0.025600095	0.1966
YER091C	513.5588947	32305418396	2304	0.025900046	0.6573
YOR063W	5302.312788	26422351499	1164	0.026500052	0.83
YGR082W	342.1919926	596263122.1	552	0.026800041	0.2244
YML077W	178.1411732	108087857.1	480	0.026900037	0.1155
YOR136W	761.2596303	3136768377	1110	0.0269999	0.245
YNL055C	1299.265416	9258015507	852	0.02710016	0.3609
YER110C	296.7970169	9218853774	3342	0.027299907	0.3432
YNL220W	737.2642566	3725307155	1302	0.027399989	0.3354
YGL062W	179.0114153	1689441323	3537	0.027499888	0.2605
